action,action_slug,reference_rank,reference_object_category,reference_source_image_path,reference_dataset_image_path,reference_overlay_image_path,test_rank,test_object_category,test_source_image_path,test_dataset_image_path,test_overlay_image_path,point_id,point_color_name,point_color_rgb,reference_point_x,reference_point_y,test_point_x,test_point_y,reference_point_x_px,reference_point_y_px,test_point_x_px,test_point_y_px
Brush/Dust,Brush_Dust,1,spoon,images/n04284002/0006.jpg,Brush_Dust/references/01__spoon__0006.jpg,Brush_Dust/reference_overlays/ref01_spoon.png,1,scraper,images/n04150980/0078.png,Brush_Dust/tests/01__scraper__0078.png,Brush_Dust/test_overlays/test01_scraper.png,1,red,"231,76,60",0.2546875,0.2916666666666667,0.0328125,0.46458333333333335,326.0,249.083,3.281,46.458
Brush/Dust,Brush_Dust,1,spoon,images/n04284002/0006.jpg,Brush_Dust/references/01__spoon__0006.jpg,Brush_Dust/reference_overlays/ref01_spoon.png,1,scraper,images/n04150980/0078.png,Brush_Dust/tests/01__scraper__0078.png,Brush_Dust/test_overlays/test01_scraper.png,2,green,"39,174,96",0.4109375,0.47291666666666665,0.2046875,0.7708333333333334,526.0,403.871,20.469,77.083
Brush/Dust,Brush_Dust,1,spoon,images/n04284002/0006.jpg,Brush_Dust/references/01__spoon__0006.jpg,Brush_Dust/reference_overlays/ref01_spoon.png,1,scraper,images/n04150980/0078.png,Brush_Dust/tests/01__scraper__0078.png,Brush_Dust/test_overlays/test01_scraper.png,3,blue,"52,152,219",0.303125,0.39375,0.096875,0.6020833333333333,388.0,336.262,9.688,60.208
Brush/Dust,Brush_Dust,1,spoon,images/n04284002/0006.jpg,Brush_Dust/references/01__spoon__0006.jpg,Brush_Dust/reference_overlays/ref01_spoon.png,1,scraper,images/n04150980/0078.png,Brush_Dust/tests/01__scraper__0078.png,Brush_Dust/test_overlays/test01_scraper.png,4,yellow,"241,196,15",0.6296875,0.61875,0.5890625,0.37916666666666665,806.0,528.413,58.906,37.917
Brush/Dust,Brush_Dust,1,spoon,images/n04284002/0006.jpg,Brush_Dust/references/01__spoon__0006.jpg,Brush_Dust/reference_overlays/ref01_spoon.png,1,scraper,images/n04150980/0078.png,Brush_Dust/tests/01__scraper__0078.png,Brush_Dust/test_overlays/test01_scraper.png,5,magenta,"155,89,182",0.85625,0.8708333333333333,0.9875,0.20208333333333334,1096.0,743.692,98.75,20.208
Brush/Dust,Brush_Dust,1,spoon,images/n04284002/0006.jpg,Brush_Dust/references/01__spoon__0006.jpg,Brush_Dust/reference_overlays/ref01_spoon.png,2,scraper,images/n04150980/0060.png,Brush_Dust/tests/02__scraper__0060.png,Brush_Dust/test_overlays/test02_scraper.png,1,red,"231,76,60",0.2546875,0.2916666666666667,0.075,0.7,326.0,249.083,14.25,133.0
Brush/Dust,Brush_Dust,1,spoon,images/n04284002/0006.jpg,Brush_Dust/references/01__spoon__0006.jpg,Brush_Dust/reference_overlays/ref01_spoon.png,2,scraper,images/n04150980/0060.png,Brush_Dust/tests/02__scraper__0060.png,Brush_Dust/test_overlays/test02_scraper.png,2,green,"39,174,96",0.4109375,0.47291666666666665,0.4015625,0.9583333333333334,526.0,403.871,76.297,182.083
Brush/Dust,Brush_Dust,1,spoon,images/n04284002/0006.jpg,Brush_Dust/references/01__spoon__0006.jpg,Brush_Dust/reference_overlays/ref01_spoon.png,2,scraper,images/n04150980/0060.png,Brush_Dust/tests/02__scraper__0060.png,Brush_Dust/test_overlays/test02_scraper.png,3,blue,"52,152,219",0.303125,0.39375,0.2265625,0.825,388.0,336.262,43.047,156.75
Brush/Dust,Brush_Dust,1,spoon,images/n04284002/0006.jpg,Brush_Dust/references/01__spoon__0006.jpg,Brush_Dust/reference_overlays/ref01_spoon.png,2,scraper,images/n04150980/0060.png,Brush_Dust/tests/02__scraper__0060.png,Brush_Dust/test_overlays/test02_scraper.png,4,yellow,"241,196,15",0.6296875,0.61875,0.53125,0.4479166666666667,806.0,528.413,100.938,85.104
Brush/Dust,Brush_Dust,1,spoon,images/n04284002/0006.jpg,Brush_Dust/references/01__spoon__0006.jpg,Brush_Dust/reference_overlays/ref01_spoon.png,2,scraper,images/n04150980/0060.png,Brush_Dust/tests/02__scraper__0060.png,Brush_Dust/test_overlays/test02_scraper.png,5,magenta,"155,89,182",0.85625,0.8708333333333333,0.84375,0.09583333333333334,1096.0,743.692,160.312,18.208
