action,action_slug,reference_rank,reference_object_category,reference_source_image_path,reference_dataset_image_path,reference_overlay_image_path,test_rank,test_object_category,test_source_image_path,test_dataset_image_path,test_overlay_image_path,point_id,point_color_name,point_color_rgb,reference_point_x,reference_point_y,test_point_x,test_point_y,reference_point_x_px,reference_point_y_px,test_point_x_px,test_point_y_px
Flip,Flip,1,spoon,images/n04284002/0016.JPEG,Flip/references/01__spoon__0016.JPEG,Flip/reference_overlays/ref01_spoon.png,1,ladle,images/n03633091/0055.JPEG,Flip/tests/01__ladle__0055.JPEG,Flip/test_overlays/test01_ladle.png,1,red,"231,76,60",0.0984375,0.08541666666666667,0.0796875,0.49583333333333335,59.062,38.438,47.812,146.767
Flip,Flip,1,spoon,images/n04284002/0016.JPEG,Flip/references/01__spoon__0016.JPEG,Flip/reference_overlays/ref01_spoon.png,1,ladle,images/n03633091/0055.JPEG,Flip/tests/01__ladle__0055.JPEG,Flip/test_overlays/test01_ladle.png,2,green,"39,174,96",0.2984375,0.28125,0.321875,0.5625,179.062,126.562,193.125,166.5
Flip,Flip,1,spoon,images/n04284002/0016.JPEG,Flip/references/01__spoon__0016.JPEG,Flip/reference_overlays/ref01_spoon.png,1,ladle,images/n03633091/0055.JPEG,Flip/tests/01__ladle__0055.JPEG,Flip/test_overlays/test01_ladle.png,3,blue,"52,152,219",0.1734375,0.19166666666666668,0.1703125,0.5833333333333334,104.062,86.25,102.188,172.667
Flip,Flip,1,spoon,images/n04284002/0016.JPEG,Flip/references/01__spoon__0016.JPEG,Flip/reference_overlays/ref01_spoon.png,1,ladle,images/n03633091/0055.JPEG,Flip/tests/01__ladle__0055.JPEG,Flip/test_overlays/test01_ladle.png,4,yellow,"241,196,15",0.4390625,0.43125,0.590625,0.5208333333333334,263.438,194.062,354.375,154.167
Flip,Flip,1,spoon,images/n04284002/0016.JPEG,Flip/references/01__spoon__0016.JPEG,Flip/reference_overlays/ref01_spoon.png,1,ladle,images/n03633091/0055.JPEG,Flip/tests/01__ladle__0055.JPEG,Flip/test_overlays/test01_ladle.png,5,magenta,"155,89,182",0.7953125,0.6708333333333333,0.8921875,0.55,477.188,301.875,535.312,162.8
Flip,Flip,1,spoon,images/n04284002/0016.JPEG,Flip/references/01__spoon__0016.JPEG,Flip/reference_overlays/ref01_spoon.png,2,ladle,images/n03633091/0000.JPEG,Flip/tests/02__ladle__0000.JPEG,Flip/test_overlays/test02_ladle.png,1,red,"231,76,60",0.0984375,0.08541666666666667,0.1234375,0.8604166666666667,59.062,38.438,44.808,427.627
Flip,Flip,1,spoon,images/n04284002/0016.JPEG,Flip/references/01__spoon__0016.JPEG,Flip/reference_overlays/ref01_spoon.png,2,ladle,images/n03633091/0000.JPEG,Flip/tests/02__ladle__0000.JPEG,Flip/test_overlays/test02_ladle.png,2,green,"39,174,96",0.2984375,0.28125,0.4171875,0.70625,179.062,126.562,151.439,351.006
Flip,Flip,1,spoon,images/n04284002/0016.JPEG,Flip/references/01__spoon__0016.JPEG,Flip/reference_overlays/ref01_spoon.png,2,ladle,images/n03633091/0000.JPEG,Flip/tests/02__ladle__0000.JPEG,Flip/test_overlays/test02_ladle.png,3,blue,"52,152,219",0.1734375,0.19166666666666668,0.2609375,0.80625,104.062,86.25,94.72,400.706
Flip,Flip,1,spoon,images/n04284002/0016.JPEG,Flip/references/01__spoon__0016.JPEG,Flip/reference_overlays/ref01_spoon.png,2,ladle,images/n03633091/0000.JPEG,Flip/tests/02__ladle__0000.JPEG,Flip/test_overlays/test02_ladle.png,4,yellow,"241,196,15",0.4390625,0.43125,0.5328125,0.3875,263.438,194.062,193.411,192.588
Flip,Flip,1,spoon,images/n04284002/0016.JPEG,Flip/references/01__spoon__0016.JPEG,Flip/reference_overlays/ref01_spoon.png,2,ladle,images/n03633091/0000.JPEG,Flip/tests/02__ladle__0000.JPEG,Flip/test_overlays/test02_ladle.png,5,magenta,"155,89,182",0.7953125,0.6708333333333333,0.9109375,0.04791666666666667,477.188,301.875,330.67,23.815
Flip,Flip,1,spoon,images/n04284002/0016.JPEG,Flip/references/01__spoon__0016.JPEG,Flip/reference_overlays/ref01_spoon.png,3,ladle,images/n03633091/0056.JPEG,Flip/tests/03__ladle__0056.JPEG,Flip/test_overlays/test03_ladle.png,1,red,"231,76,60",0.0984375,0.08541666666666667,0.1359375,0.22083333333333333,59.062,38.438,81.562,90.321
Flip,Flip,1,spoon,images/n04284002/0016.JPEG,Flip/references/01__spoon__0016.JPEG,Flip/reference_overlays/ref01_spoon.png,3,ladle,images/n03633091/0056.JPEG,Flip/tests/03__ladle__0056.JPEG,Flip/test_overlays/test03_ladle.png,2,green,"39,174,96",0.2984375,0.28125,0.3328125,0.43333333333333335,179.062,126.562,199.688,177.233
Flip,Flip,1,spoon,images/n04284002/0016.JPEG,Flip/references/01__spoon__0016.JPEG,Flip/reference_overlays/ref01_spoon.png,3,ladle,images/n03633091/0056.JPEG,Flip/tests/03__ladle__0056.JPEG,Flip/test_overlays/test03_ladle.png,3,blue,"52,152,219",0.1734375,0.19166666666666668,0.2234375,0.35208333333333336,104.062,86.25,134.062,144.002
Flip,Flip,1,spoon,images/n04284002/0016.JPEG,Flip/references/01__spoon__0016.JPEG,Flip/reference_overlays/ref01_spoon.png,3,ladle,images/n03633091/0056.JPEG,Flip/tests/03__ladle__0056.JPEG,Flip/test_overlays/test03_ladle.png,4,yellow,"241,196,15",0.4390625,0.43125,0.6515625,0.65,263.438,194.062,390.938,265.85
Flip,Flip,1,spoon,images/n04284002/0016.JPEG,Flip/references/01__spoon__0016.JPEG,Flip/reference_overlays/ref01_spoon.png,3,ladle,images/n03633091/0056.JPEG,Flip/tests/03__ladle__0056.JPEG,Flip/test_overlays/test03_ladle.png,5,magenta,"155,89,182",0.7953125,0.6708333333333333,0.915625,0.8520833333333333,477.188,301.875,549.375,348.502
Flip,Flip,1,spoon,images/n04284002/0016.JPEG,Flip/references/01__spoon__0016.JPEG,Flip/reference_overlays/ref01_spoon.png,4,ladle,images/n03633091/0086.JPEG,Flip/tests/04__ladle__0086.JPEG,Flip/test_overlays/test04_ladle.png,1,red,"231,76,60",0.0984375,0.08541666666666667,0.0546875,0.4479166666666667,59.062,38.438,32.156,128.552
Flip,Flip,1,spoon,images/n04284002/0016.JPEG,Flip/references/01__spoon__0016.JPEG,Flip/reference_overlays/ref01_spoon.png,4,ladle,images/n03633091/0086.JPEG,Flip/tests/04__ladle__0086.JPEG,Flip/test_overlays/test04_ladle.png,2,green,"39,174,96",0.2984375,0.28125,0.2953125,0.5083333333333333,179.062,126.562,173.644,145.892
Flip,Flip,1,spoon,images/n04284002/0016.JPEG,Flip/references/01__spoon__0016.JPEG,Flip/reference_overlays/ref01_spoon.png,4,ladle,images/n03633091/0086.JPEG,Flip/tests/04__ladle__0086.JPEG,Flip/test_overlays/test04_ladle.png,3,blue,"52,152,219",0.1734375,0.19166666666666668,0.16875,0.48125,104.062,86.25,99.225,138.119
Flip,Flip,1,spoon,images/n04284002/0016.JPEG,Flip/references/01__spoon__0016.JPEG,Flip/reference_overlays/ref01_spoon.png,4,ladle,images/n03633091/0086.JPEG,Flip/tests/04__ladle__0086.JPEG,Flip/test_overlays/test04_ladle.png,4,yellow,"241,196,15",0.4390625,0.43125,0.4953125,0.48541666666666666,263.438,194.062,291.244,139.315
