action,action_slug,reference_rank,reference_object_category,reference_source_image_path,reference_dataset_image_path,reference_overlay_image_path,test_rank,test_object_category,test_source_image_path,test_dataset_image_path,test_overlay_image_path,point_id,point_color_name,point_color_rgb,reference_point_x,reference_point_y,test_point_x,test_point_y,reference_point_x_px,reference_point_y_px,test_point_x_px,test_point_y_px
Hooking,Hooking,1,ref1,Hooking/references/ref1.png,Hooking/references/ref1.png,Hooking/reference_overlays/ref01_ref1.png,1,test1,Hooking/tests/test1.png,Hooking/tests/test1.png,Hooking/test_overlays/test01_test1.png,1,red,"231,76,60",0.406611570248,0.355263157895,0.59173553719,0.210526315789,541.2,356.684,787.6,211.368
Hooking,Hooking,1,ref1,Hooking/references/ref1.png,Hooking/references/ref1.png,Hooking/reference_overlays/ref01_ref1.png,1,test1,Hooking/tests/test1.png,Hooking/tests/test1.png,Hooking/test_overlays/test01_test1.png,2,green,"39,174,96",0.714049586777,0.535087719298,0.672727272727,0.0723684210526,950.4,537.228,895.4,72.658
Hooking,Hooking,1,ref1,Hooking/references/ref1.png,Hooking/references/ref1.png,Hooking/reference_overlays/ref01_ref1.png,1,test1,Hooking/tests/test1.png,Hooking/tests/test1.png,Hooking/test_overlays/test01_test1.png,3,blue,"52,152,219",0.684297520661,0.456140350877,0.647933884298,0.094298245614,910.8,457.965,862.4,94.675
Hooking,Hooking,1,ref1,Hooking/references/ref1.png,Hooking/references/ref1.png,Hooking/reference_overlays/ref01_ref1.png,2,test2,Hooking/tests/test2.png,Hooking/tests/test2.png,Hooking/test_overlays/test02_test2.png,1,red,"231,76,60",0.406611570248,0.355263157895,0.497520661157,0.234649122807,541.2,356.684,662.2,235.588
Hooking,Hooking,1,ref1,Hooking/references/ref1.png,Hooking/references/ref1.png,Hooking/reference_overlays/ref01_ref1.png,2,test2,Hooking/tests/test2.png,Hooking/tests/test2.png,Hooking/test_overlays/test02_test2.png,2,green,"39,174,96",0.714049586777,0.535087719298,0.629752066116,0.304824561404,950.4,537.228,838.2,306.044
Hooking,Hooking,1,ref1,Hooking/references/ref1.png,Hooking/references/ref1.png,Hooking/reference_overlays/ref01_ref1.png,2,test2,Hooking/tests/test2.png,Hooking/tests/test2.png,Hooking/test_overlays/test02_test2.png,3,blue,"52,152,219",0.684297520661,0.456140350877,0.532231404959,0.293859649123,910.8,457.965,708.4,295.035
Hooking,Hooking,1,ref1,Hooking/references/ref1.png,Hooking/references/ref1.png,Hooking/reference_overlays/ref01_ref1.png,3,test3,Hooking/tests/test3.png,Hooking/tests/test3.png,Hooking/test_overlays/test03_test3.png,1,red,"231,76,60",0.406611570248,0.355263157895,0.659504132231,0.125,541.2,356.684,877.8,125.5
Hooking,Hooking,1,ref1,Hooking/references/ref1.png,Hooking/references/ref1.png,Hooking/reference_overlays/ref01_ref1.png,3,test3,Hooking/tests/test3.png,Hooking/tests/test3.png,Hooking/test_overlays/test03_test3.png,2,green,"39,174,96",0.714049586777,0.535087719298,0.24958677686,0.561403508772,950.4,537.228,332.2,563.649
Hooking,Hooking,1,ref1,Hooking/references/ref1.png,Hooking/references/ref1.png,Hooking/reference_overlays/ref01_ref1.png,3,test3,Hooking/tests/test3.png,Hooking/tests/test3.png,Hooking/test_overlays/test03_test3.png,3,blue,"52,152,219",0.684297520661,0.456140350877,0.727272727273,0.138157894737,910.8,457.965,968.0,138.711
Hooking,Hooking,1,ref1,Hooking/references/ref1.png,Hooking/references/ref1.png,Hooking/reference_overlays/ref01_ref1.png,4,test4,Hooking/tests/test4.png,Hooking/tests/test4.png,Hooking/test_overlays/test04_test4.png,1,red,"231,76,60",0.406611570248,0.355263157895,0.323966942149,0.302631578947,541.2,356.684,431.2,303.842
Hooking,Hooking,1,ref1,Hooking/references/ref1.png,Hooking/references/ref1.png,Hooking/reference_overlays/ref01_ref1.png,4,test4,Hooking/tests/test4.png,Hooking/tests/test4.png,Hooking/test_overlays/test04_test4.png,2,green,"39,174,96",0.714049586777,0.535087719298,0.628099173554,0.743421052632,950.4,537.228,836.0,746.395
Hooking,Hooking,1,ref1,Hooking/references/ref1.png,Hooking/references/ref1.png,Hooking/reference_overlays/ref01_ref1.png,4,test4,Hooking/tests/test4.png,Hooking/tests/test4.png,Hooking/test_overlays/test04_test4.png,3,blue,"52,152,219",0.684297520661,0.456140350877,0.335537190083,0.287280701754,910.8,457.965,446.6,288.43
Hooking,Hooking,1,ref1,Hooking/references/ref1.png,Hooking/references/ref1.png,Hooking/reference_overlays/ref01_ref1.png,5,test5,Hooking/tests/test5.png,Hooking/tests/test5.png,Hooking/test_overlays/test05_test5.png,1,red,"231,76,60",0.406611570248,0.355263157895,0.585123966942,0.151315789474,541.2,356.684,778.8,151.921
Hooking,Hooking,1,ref1,Hooking/references/ref1.png,Hooking/references/ref1.png,Hooking/reference_overlays/ref01_ref1.png,5,test5,Hooking/tests/test5.png,Hooking/tests/test5.png,Hooking/test_overlays/test05_test5.png,2,green,"39,174,96",0.714049586777,0.535087719298,0.472727272727,0.18201754386,950.4,537.228,629.2,182.746
Hooking,Hooking,1,ref1,Hooking/references/ref1.png,Hooking/references/ref1.png,Hooking/reference_overlays/ref01_ref1.png,5,test5,Hooking/tests/test5.png,Hooking/tests/test5.png,Hooking/test_overlays/test05_test5.png,3,blue,"52,152,219",0.684297520661,0.456140350877,0.557024793388,0.203947368421,910.8,457.965,741.4,204.763
Hooking,Hooking,1,ref1,Hooking/references/ref1.png,Hooking/references/ref1.png,Hooking/reference_overlays/ref01_ref1.png,6,test6,Hooking/tests/test6.png,Hooking/tests/test6.png,Hooking/test_overlays/test06_test6.png,1,red,"231,76,60",0.406611570248,0.355263157895,0.447933884298,0.322368421053,541.2,356.684,596.2,323.658
Hooking,Hooking,1,ref1,Hooking/references/ref1.png,Hooking/references/ref1.png,Hooking/reference_overlays/ref01_ref1.png,6,test6,Hooking/tests/test6.png,Hooking/tests/test6.png,Hooking/test_overlays/test06_test6.png,2,green,"39,174,96",0.714049586777,0.535087719298,0.63305785124,0.304824561404,950.4,537.228,842.6,306.044
Hooking,Hooking,1,ref1,Hooking/references/ref1.png,Hooking/references/ref1.png,Hooking/reference_overlays/ref01_ref1.png,6,test6,Hooking/tests/test6.png,Hooking/tests/test6.png,Hooking/test_overlays/test06_test6.png,3,blue,"52,152,219",0.684297520661,0.456140350877,0.557024793388,0.287280701754,910.8,457.965,741.4,288.43
Hooking,Hooking,1,ref1,Hooking/references/ref1.png,Hooking/references/ref1.png,Hooking/reference_overlays/ref01_ref1.png,7,test7,Hooking/tests/test7.png,Hooking/tests/test7.png,Hooking/test_overlays/test07_test7.png,1,red,"231,76,60",0.406611570248,0.355263157895,0.480991735537,0.247807017544,541.2,356.684,640.2,248.798
Hooking,Hooking,1,ref1,Hooking/references/ref1.png,Hooking/references/ref1.png,Hooking/reference_overlays/ref01_ref1.png,7,test7,Hooking/tests/test7.png,Hooking/tests/test7.png,Hooking/test_overlays/test07_test7.png,2,green,"39,174,96",0.714049586777,0.535087719298,0.409917355372,0.214912280702,950.4,537.228,545.6,215.772
