action,action_slug,reference_rank,reference_object_category,reference_source_image_path,reference_dataset_image_path,reference_overlay_image_path,test_rank,test_object_category,test_source_image_path,test_dataset_image_path,test_overlay_image_path,point_id,point_color_name,point_color_rgb,reference_point_x,reference_point_y,test_point_x,test_point_y,reference_point_x_px,reference_point_y_px,test_point_x_px,test_point_y_px
Lift Something,Lift_Something,1,tablefork,images/n04380255/0055.png,Lift_Something/references/01__tablefork__0055.png,Lift_Something/reference_overlays/ref01_tablefork.png,1,basket,images/n02801938/0010.png,Lift_Something/tests/01__basket__0010.png,Lift_Something/test_overlays/test01_basket.png,1,red,"231,76,60",0.2390625,0.31666666666666665,0.1359375,0.5333333333333333,95.625,84.55,67.969,200.0
Lift Something,Lift_Something,1,tablefork,images/n04380255/0055.png,Lift_Something/references/01__tablefork__0055.png,Lift_Something/reference_overlays/ref01_tablefork.png,1,basket,images/n02801938/0010.png,Lift_Something/tests/01__basket__0010.png,Lift_Something/test_overlays/test01_basket.png,2,green,"39,174,96",0.3734375,0.47708333333333336,0.546875,0.675,149.375,127.381,273.438,253.125
Lift Something,Lift_Something,1,tablefork,images/n04380255/0055.png,Lift_Something/references/01__tablefork__0055.png,Lift_Something/reference_overlays/ref01_tablefork.png,1,basket,images/n02801938/0010.png,Lift_Something/tests/01__basket__0010.png,Lift_Something/test_overlays/test01_basket.png,3,blue,"52,152,219",0.3,0.4083333333333333,0.453125,0.69375,120.0,109.025,226.562,260.156
Lift Something,Lift_Something,1,tablefork,images/n04380255/0055.png,Lift_Something/references/01__tablefork__0055.png,Lift_Something/reference_overlays/ref01_tablefork.png,1,basket,images/n02801938/0010.png,Lift_Something/tests/01__basket__0010.png,Lift_Something/test_overlays/test01_basket.png,4,yellow,"241,196,15",0.5359375,0.625,0.5609375,0.5833333333333334,214.375,166.875,280.469,218.75
Lift Something,Lift_Something,1,tablefork,images/n04380255/0055.png,Lift_Something/references/01__tablefork__0055.png,Lift_Something/reference_overlays/ref01_tablefork.png,1,basket,images/n02801938/0010.png,Lift_Something/tests/01__basket__0010.png,Lift_Something/test_overlays/test01_basket.png,5,magenta,"155,89,182",0.703125,0.7958333333333333,0.4828125,0.22083333333333333,281.25,212.487,241.406,82.812
Lift Something,Lift_Something,1,tablefork,images/n04380255/0055.png,Lift_Something/references/01__tablefork__0055.png,Lift_Something/reference_overlays/ref01_tablefork.png,2,basket,images/n02801938/0003.png,Lift_Something/tests/02__basket__0003.png,Lift_Something/test_overlays/test02_basket.png,1,red,"231,76,60",0.2390625,0.31666666666666665,0.0859375,0.45,95.625,84.55,34.375,180.0
Lift Something,Lift_Something,1,tablefork,images/n04380255/0055.png,Lift_Something/references/01__tablefork__0055.png,Lift_Something/reference_overlays/ref01_tablefork.png,2,basket,images/n02801938/0003.png,Lift_Something/tests/02__basket__0003.png,Lift_Something/test_overlays/test02_basket.png,2,green,"39,174,96",0.3734375,0.47708333333333336,0.5421875,0.5395833333333333,149.375,127.381,216.875,215.833
Lift Something,Lift_Something,1,tablefork,images/n04380255/0055.png,Lift_Something/references/01__tablefork__0055.png,Lift_Something/reference_overlays/ref01_tablefork.png,2,basket,images/n02801938/0003.png,Lift_Something/tests/02__basket__0003.png,Lift_Something/test_overlays/test02_basket.png,3,blue,"52,152,219",0.3,0.4083333333333333,0.5,0.73125,120.0,109.025,200.0,292.5
Lift Something,Lift_Something,1,tablefork,images/n04380255/0055.png,Lift_Something/references/01__tablefork__0055.png,Lift_Something/reference_overlays/ref01_tablefork.png,2,basket,images/n02801938/0003.png,Lift_Something/tests/02__basket__0003.png,Lift_Something/test_overlays/test02_basket.png,4,yellow,"241,196,15",0.5359375,0.625,0.53125,0.45416666666666666,214.375,166.875,212.5,181.667
Lift Something,Lift_Something,1,tablefork,images/n04380255/0055.png,Lift_Something/references/01__tablefork__0055.png,Lift_Something/reference_overlays/ref01_tablefork.png,2,basket,images/n02801938/0003.png,Lift_Something/tests/02__basket__0003.png,Lift_Something/test_overlays/test02_basket.png,5,magenta,"155,89,182",0.703125,0.7958333333333333,0.4765625,0.0875,281.25,212.487,190.625,35.0
