action,action_slug,reference_rank,reference_object_category,reference_source_image_path,reference_dataset_image_path,reference_overlay_image_path,test_rank,test_object_category,test_source_image_path,test_dataset_image_path,test_overlay_image_path,point_id,point_color_name,point_color_rgb,reference_point_x,reference_point_y,test_point_x,test_point_y,reference_point_x_px,reference_point_y_px,test_point_x_px,test_point_y_px
Mash/Pound,Mash_Pound,1,frying_pan,images/n03400231/0057.JPEG,Mash_Pound/references/01__frying_pan__0057.JPEG,Mash_Pound/reference_overlays/ref01_frying_pan.png,1,bottle,images/n02876657/0048.JPEG,Mash_Pound/tests/01__bottle__0048.JPEG,Mash_Pound/test_overlays/test01_bottle.png,1,red,"231,76,60",0.1078125,0.5770833333333333,0.20937499999999998,0.5875,64.688,167.931,104.687,293.75
Mash/Pound,Mash_Pound,1,frying_pan,images/n03400231/0057.JPEG,Mash_Pound/references/01__frying_pan__0057.JPEG,Mash_Pound/reference_overlays/ref01_frying_pan.png,1,bottle,images/n02876657/0048.JPEG,Mash_Pound/tests/01__bottle__0048.JPEG,Mash_Pound/test_overlays/test01_bottle.png,2,green,"39,174,96",0.31875,0.525,0.3359375,0.44166666666666665,191.25,152.775,167.969,220.833
Mash/Pound,Mash_Pound,1,frying_pan,images/n03400231/0057.JPEG,Mash_Pound/references/01__frying_pan__0057.JPEG,Mash_Pound/reference_overlays/ref01_frying_pan.png,1,bottle,images/n02876657/0048.JPEG,Mash_Pound/tests/01__bottle__0048.JPEG,Mash_Pound/test_overlays/test01_bottle.png,3,blue,"52,152,219",0.509375,0.44583333333333336,0.46406250000000004,0.3104166666666667,305.625,129.738,232.031,155.208
Mash/Pound,Mash_Pound,1,frying_pan,images/n03400231/0057.JPEG,Mash_Pound/references/01__frying_pan__0057.JPEG,Mash_Pound/reference_overlays/ref01_frying_pan.png,1,bottle,images/n02876657/0048.JPEG,Mash_Pound/tests/01__bottle__0048.JPEG,Mash_Pound/test_overlays/test01_bottle.png,4,yellow,"241,196,15",0.665625,0.33958333333333335,0.615625,0.2791666666666667,399.375,98.819,307.812,139.583
Mash/Pound,Mash_Pound,1,frying_pan,images/n03400231/0057.JPEG,Mash_Pound/references/01__frying_pan__0057.JPEG,Mash_Pound/reference_overlays/ref01_frying_pan.png,1,bottle,images/n02876657/0048.JPEG,Mash_Pound/tests/01__bottle__0048.JPEG,Mash_Pound/test_overlays/test01_bottle.png,5,magenta,"155,89,182",0.9296875,0.23958333333333334,0.7890625,0.1,557.812,69.719,394.531,50.0
Mash/Pound,Mash_Pound,1,frying_pan,images/n03400231/0057.JPEG,Mash_Pound/references/01__frying_pan__0057.JPEG,Mash_Pound/reference_overlays/ref01_frying_pan.png,2,bottle,images/n02876657/0056.JPEG,Mash_Pound/tests/02__bottle__0056.JPEG,Mash_Pound/test_overlays/test02_bottle.png,1,red,"231,76,60",0.1078125,0.5770833333333333,0.2140625,0.40625,64.688,167.931,53.516,203.125
Mash/Pound,Mash_Pound,1,frying_pan,images/n03400231/0057.JPEG,Mash_Pound/references/01__frying_pan__0057.JPEG,Mash_Pound/reference_overlays/ref01_frying_pan.png,2,bottle,images/n02876657/0056.JPEG,Mash_Pound/tests/02__bottle__0056.JPEG,Mash_Pound/test_overlays/test02_bottle.png,2,green,"39,174,96",0.31875,0.525,0.2296875,0.6375,191.25,152.775,57.422,318.75
Mash/Pound,Mash_Pound,1,frying_pan,images/n03400231/0057.JPEG,Mash_Pound/references/01__frying_pan__0057.JPEG,Mash_Pound/reference_overlays/ref01_frying_pan.png,2,bottle,images/n02876657/0056.JPEG,Mash_Pound/tests/02__bottle__0056.JPEG,Mash_Pound/test_overlays/test02_bottle.png,3,blue,"52,152,219",0.509375,0.44583333333333336,0.234375,0.8291666666666667,305.625,129.738,58.594,414.583
Mash/Pound,Mash_Pound,1,frying_pan,images/n03400231/0057.JPEG,Mash_Pound/references/01__frying_pan__0057.JPEG,Mash_Pound/reference_overlays/ref01_frying_pan.png,2,bottle,images/n02876657/0056.JPEG,Mash_Pound/tests/02__bottle__0056.JPEG,Mash_Pound/test_overlays/test02_bottle.png,4,yellow,"241,196,15",0.665625,0.33958333333333335,0.490625,0.2625,399.375,98.819,122.656,131.25
Mash/Pound,Mash_Pound,1,frying_pan,images/n03400231/0057.JPEG,Mash_Pound/references/01__frying_pan__0057.JPEG,Mash_Pound/reference_overlays/ref01_frying_pan.png,2,bottle,images/n02876657/0056.JPEG,Mash_Pound/tests/02__bottle__0056.JPEG,Mash_Pound/test_overlays/test02_bottle.png,5,magenta,"155,89,182",0.9296875,0.23958333333333334,0.4765625,0.0625,557.812,69.719,119.141,31.25
