action,action_slug,reference_rank,reference_object_category,reference_source_image_path,reference_dataset_image_path,reference_overlay_image_path,test_rank,test_object_category,test_source_image_path,test_dataset_image_path,test_overlay_image_path,point_id,point_color_name,point_color_rgb,reference_point_x,reference_point_y,test_point_x,test_point_y,reference_point_x_px,reference_point_y_px,test_point_x_px,test_point_y_px
Mix,Mix,1,spoon,images/n04284002/0004.jpg,Mix/references/01__spoon__0004.jpg,Mix/reference_overlays/ref01_spoon.png,1,spatula,images/n04269944/0089.png,Mix/tests/01__spatula__0089.png,Mix/test_overlays/test01_spatula.png,1,red,"231,76,60",0.1171875,0.49375,0.17500000000000004,0.5333333333333333,120.0,260.7,87.5,199.467
Mix,Mix,1,spoon,images/n04284002/0004.jpg,Mix/references/01__spoon__0004.jpg,Mix/reference_overlays/ref01_spoon.png,1,spatula,images/n04269944/0089.png,Mix/tests/01__spatula__0089.png,Mix/test_overlays/test01_spatula.png,2,green,"39,174,96",0.3265625,0.49166666666666664,0.41718750000000004,0.5208333333333334,334.4,259.6,208.594,194.792
Mix,Mix,1,spoon,images/n04284002/0004.jpg,Mix/references/01__spoon__0004.jpg,Mix/reference_overlays/ref01_spoon.png,1,spatula,images/n04269944/0089.png,Mix/tests/01__spatula__0089.png,Mix/test_overlays/test01_spatula.png,3,blue,"52,152,219",0.4375,0.5083333333333333,0.5078125,0.5125,448.0,268.4,253.906,191.675
Mix,Mix,1,spoon,images/n04284002/0004.jpg,Mix/references/01__spoon__0004.jpg,Mix/reference_overlays/ref01_spoon.png,1,spatula,images/n04269944/0089.png,Mix/tests/01__spatula__0089.png,Mix/test_overlays/test01_spatula.png,4,yellow,"241,196,15",0.6640625,0.5020833333333333,0.6953125,0.49166666666666664,680.0,265.1,347.656,183.883
Mix,Mix,1,spoon,images/n04284002/0004.jpg,Mix/references/01__spoon__0004.jpg,Mix/reference_overlays/ref01_spoon.png,1,spatula,images/n04269944/0089.png,Mix/tests/01__spatula__0089.png,Mix/test_overlays/test01_spatula.png,5,magenta,"155,89,182",0.909375,0.5041666666666667,0.890625,0.46458333333333335,931.2,266.2,445.312,173.754
Mix,Mix,1,spoon,images/n04284002/0004.jpg,Mix/references/01__spoon__0004.jpg,Mix/reference_overlays/ref01_spoon.png,2,spatula,images/n04269944/0056.png,Mix/tests/02__spatula__0056.png,Mix/test_overlays/test02_spatula.png,1,red,"231,76,60",0.1171875,0.49375,0.1640625,0.9,120.0,260.7,45.938,252.0
Mix,Mix,1,spoon,images/n04284002/0004.jpg,Mix/references/01__spoon__0004.jpg,Mix/reference_overlays/ref01_spoon.png,2,spatula,images/n04269944/0056.png,Mix/tests/02__spatula__0056.png,Mix/test_overlays/test02_spatula.png,2,green,"39,174,96",0.3265625,0.49166666666666664,0.4375,0.60625,334.4,259.6,122.5,169.75
Mix,Mix,1,spoon,images/n04284002/0004.jpg,Mix/references/01__spoon__0004.jpg,Mix/reference_overlays/ref01_spoon.png,2,spatula,images/n04269944/0056.png,Mix/tests/02__spatula__0056.png,Mix/test_overlays/test02_spatula.png,3,blue,"52,152,219",0.4375,0.5083333333333333,0.49687499999999996,0.5104166666666666,448.0,268.4,139.125,142.917
Mix,Mix,1,spoon,images/n04284002/0004.jpg,Mix/references/01__spoon__0004.jpg,Mix/reference_overlays/ref01_spoon.png,2,spatula,images/n04269944/0056.png,Mix/tests/02__spatula__0056.png,Mix/test_overlays/test02_spatula.png,4,yellow,"241,196,15",0.6640625,0.5020833333333333,0.7328125,0.26875,680.0,265.1,205.188,75.25
Mix,Mix,1,spoon,images/n04284002/0004.jpg,Mix/references/01__spoon__0004.jpg,Mix/reference_overlays/ref01_spoon.png,2,spatula,images/n04269944/0056.png,Mix/tests/02__spatula__0056.png,Mix/test_overlays/test02_spatula.png,5,magenta,"155,89,182",0.909375,0.5041666666666667,0.925,0.04583333333333333,931.2,266.2,259.0,12.833
Mix,Mix,1,spoon,images/n04284002/0004.jpg,Mix/references/01__spoon__0004.jpg,Mix/reference_overlays/ref01_spoon.png,3,spatula,images/n04269944/0087.png,Mix/tests/03__spatula__0087.png,Mix/test_overlays/test03_spatula.png,1,red,"231,76,60",0.1171875,0.49375,0.0703125,0.23958333333333334,120.0,260.7,19.688,67.083
