action,action_slug,reference_rank,reference_object_category,reference_source_image_path,reference_dataset_image_path,reference_overlay_image_path,test_rank,test_object_category,test_source_image_path,test_dataset_image_path,test_overlay_image_path,point_id,point_color_name,point_color_rgb,reference_point_x,reference_point_y,test_point_x,test_point_y,reference_point_x_px,reference_point_y_px,test_point_x_px,test_point_y_px
Poke,Poke,1,screwdriver,images/n04154565/0036.JPEG,Poke/references/01__screwdriver__0036.JPEG,Poke/reference_overlays/ref01_screwdriver.png,1,scissors,images/n04148054/0086.png,Poke/tests/01__scissors__0086.png,Poke/test_overlays/test01_scissors.png,1,red,"231,76,60",0.2421875,0.6291666666666667,0.025000000000000022,0.17708333333333334,121.094,210.142,12.5,66.406
Poke,Poke,1,screwdriver,images/n04154565/0036.JPEG,Poke/references/01__screwdriver__0036.JPEG,Poke/reference_overlays/ref01_screwdriver.png,1,scissors,images/n04148054/0086.png,Poke/tests/01__scissors__0086.png,Poke/test_overlays/test01_scissors.png,2,green,"39,174,96",0.4296875,0.4395833333333333,0.3671875,0.375,214.844,146.821,183.594,140.625
Poke,Poke,1,screwdriver,images/n04154565/0036.JPEG,Poke/references/01__screwdriver__0036.JPEG,Poke/reference_overlays/ref01_screwdriver.png,1,scissors,images/n04148054/0086.png,Poke/tests/01__scissors__0086.png,Poke/test_overlays/test01_scissors.png,3,blue,"52,152,219",0.4859375,0.3875,0.43437499999999996,0.4166666666666667,242.969,129.425,217.187,156.25
Poke,Poke,1,screwdriver,images/n04154565/0036.JPEG,Poke/references/01__screwdriver__0036.JPEG,Poke/reference_overlays/ref01_screwdriver.png,1,scissors,images/n04148054/0086.png,Poke/tests/01__scissors__0086.png,Poke/test_overlays/test01_scissors.png,4,yellow,"241,196,15",0.5765625,0.3104166666666667,0.665625,0.6083333333333333,288.281,103.679,332.812,228.125
Poke,Poke,1,screwdriver,images/n04154565/0036.JPEG,Poke/references/01__screwdriver__0036.JPEG,Poke/reference_overlays/ref01_screwdriver.png,1,scissors,images/n04148054/0086.png,Poke/tests/01__scissors__0086.png,Poke/test_overlays/test01_scissors.png,5,magenta,"155,89,182",0.653125,0.21875,0.8078125,0.9020833333333333,326.562,73.062,403.906,338.281
Poke,Poke,1,screwdriver,images/n04154565/0036.JPEG,Poke/references/01__screwdriver__0036.JPEG,Poke/reference_overlays/ref01_screwdriver.png,2,scissors,images/n04148054/0076.png,Poke/tests/02__scissors__0076.png,Poke/test_overlays/test02_scissors.png,1,red,"231,76,60",0.2421875,0.6291666666666667,0.22343749999999996,0.8,121.094,210.142,44.687,160.0
Poke,Poke,1,screwdriver,images/n04154565/0036.JPEG,Poke/references/01__screwdriver__0036.JPEG,Poke/reference_overlays/ref01_screwdriver.png,2,scissors,images/n04148054/0076.png,Poke/tests/02__scissors__0076.png,Poke/test_overlays/test02_scissors.png,2,green,"39,174,96",0.4296875,0.4395833333333333,0.38125,0.5645833333333333,214.844,146.821,76.25,112.917
Poke,Poke,1,screwdriver,images/n04154565/0036.JPEG,Poke/references/01__screwdriver__0036.JPEG,Poke/reference_overlays/ref01_screwdriver.png,2,scissors,images/n04148054/0076.png,Poke/tests/02__scissors__0076.png,Poke/test_overlays/test02_scissors.png,3,blue,"52,152,219",0.4859375,0.3875,0.459375,0.5208333333333334,242.969,129.425,91.875,104.167
Poke,Poke,1,screwdriver,images/n04154565/0036.JPEG,Poke/references/01__screwdriver__0036.JPEG,Poke/reference_overlays/ref01_screwdriver.png,2,scissors,images/n04148054/0076.png,Poke/tests/02__scissors__0076.png,Poke/test_overlays/test02_scissors.png,4,yellow,"241,196,15",0.5765625,0.3104166666666667,0.7015625,0.46875,288.281,103.679,140.312,93.75
Poke,Poke,1,screwdriver,images/n04154565/0036.JPEG,Poke/references/01__screwdriver__0036.JPEG,Poke/reference_overlays/ref01_screwdriver.png,2,scissors,images/n04148054/0076.png,Poke/tests/02__scissors__0076.png,Poke/test_overlays/test02_scissors.png,5,magenta,"155,89,182",0.653125,0.21875,0.91875,0.375,326.562,73.062,183.75,75.0
