action,action_slug,reference_rank,reference_object_category,reference_source_image_path,reference_dataset_image_path,reference_overlay_image_path,test_rank,test_object_category,test_source_image_path,test_dataset_image_path,test_overlay_image_path,point_id,point_color_name,point_color_rgb,reference_point_x,reference_point_y,test_point_x,test_point_y,reference_point_x_px,reference_point_y_px,test_point_x_px,test_point_y_px
Pour,Pour,1,bottle,images/n02876657/0053.JPEG,Pour/references/01__bottle__0053.JPEG,Pour/reference_overlays/ref01_bottle.png,1,bottle,images/n02876657/0047.JPEG,Pour/tests/01__bottle__0047.JPEG,Pour/test_overlays/test01_bottle.png,1,red,"231,76,60",0.19999999999999996,0.11041666666666666,0.14531249999999996,0.8291666666666667,66.6,55.208,72.656,310.938
Pour,Pour,1,bottle,images/n02876657/0053.JPEG,Pour/references/01__bottle__0053.JPEG,Pour/reference_overlays/ref01_bottle.png,1,bottle,images/n02876657/0047.JPEG,Pour/tests/01__bottle__0047.JPEG,Pour/test_overlays/test01_bottle.png,2,green,"39,174,96",0.4078125,0.4041666666666667,0.384375,0.66875,135.802,202.083,192.188,250.781
Pour,Pour,1,bottle,images/n02876657/0053.JPEG,Pour/references/01__bottle__0053.JPEG,Pour/reference_overlays/ref01_bottle.png,1,bottle,images/n02876657/0047.JPEG,Pour/tests/01__bottle__0047.JPEG,Pour/test_overlays/test01_bottle.png,3,blue,"52,152,219",0.659375,0.6979166666666666,0.6375,0.5083333333333333,219.572,348.958,318.75,190.625
Pour,Pour,1,bottle,images/n02876657/0053.JPEG,Pour/references/01__bottle__0053.JPEG,Pour/reference_overlays/ref01_bottle.png,1,bottle,images/n02876657/0047.JPEG,Pour/tests/01__bottle__0047.JPEG,Pour/test_overlays/test01_bottle.png,4,yellow,"241,196,15",0.55,0.5375,0.459375,0.6083333333333333,183.15,268.75,229.688,228.125
Pour,Pour,1,bottle,images/n02876657/0053.JPEG,Pour/references/01__bottle__0053.JPEG,Pour/reference_overlays/ref01_bottle.png,1,bottle,images/n02876657/0047.JPEG,Pour/tests/01__bottle__0047.JPEG,Pour/test_overlays/test01_bottle.png,5,magenta,"155,89,182",0.7796875,0.8479166666666667,0.7859375,0.4166666666666667,259.636,423.958,392.969,156.25
Pour,Pour,1,bottle,images/n02876657/0053.JPEG,Pour/references/01__bottle__0053.JPEG,Pour/reference_overlays/ref01_bottle.png,2,bottle,images/n02876657/0020.JPEG,Pour/tests/02__bottle__0020.JPEG,Pour/test_overlays/test02_bottle.png,1,red,"231,76,60",0.19999999999999996,0.11041666666666666,0.18125,0.14583333333333334,66.6,55.208,90.625,49.0
Pour,Pour,1,bottle,images/n02876657/0053.JPEG,Pour/references/01__bottle__0053.JPEG,Pour/reference_overlays/ref01_bottle.png,2,bottle,images/n02876657/0020.JPEG,Pour/tests/02__bottle__0020.JPEG,Pour/test_overlays/test02_bottle.png,2,green,"39,174,96",0.4078125,0.4041666666666667,0.334375,0.3145833333333333,135.802,202.083,167.188,105.7
Pour,Pour,1,bottle,images/n02876657/0053.JPEG,Pour/references/01__bottle__0053.JPEG,Pour/reference_overlays/ref01_bottle.png,2,bottle,images/n02876657/0020.JPEG,Pour/tests/02__bottle__0020.JPEG,Pour/test_overlays/test02_bottle.png,3,blue,"52,152,219",0.659375,0.6979166666666666,0.55625,0.5729166666666666,219.572,348.958,278.125,192.5
Pour,Pour,1,bottle,images/n02876657/0053.JPEG,Pour/references/01__bottle__0053.JPEG,Pour/reference_overlays/ref01_bottle.png,2,bottle,images/n02876657/0020.JPEG,Pour/tests/02__bottle__0020.JPEG,Pour/test_overlays/test02_bottle.png,4,yellow,"241,196,15",0.55,0.5375,0.3890625,0.41041666666666665,183.15,268.75,194.531,137.9
Pour,Pour,1,bottle,images/n02876657/0053.JPEG,Pour/references/01__bottle__0053.JPEG,Pour/reference_overlays/ref01_bottle.png,2,bottle,images/n02876657/0020.JPEG,Pour/tests/02__bottle__0020.JPEG,Pour/test_overlays/test02_bottle.png,5,magenta,"155,89,182",0.7796875,0.8479166666666667,0.6765625,0.6770833333333334,259.636,423.958,338.281,227.5
Pour,Pour,1,bottle,images/n02876657/0053.JPEG,Pour/references/01__bottle__0053.JPEG,Pour/reference_overlays/ref01_bottle.png,3,bottle,images/n02876657/0001.JPEG,Pour/tests/03__bottle__0001.JPEG,Pour/test_overlays/test03_bottle.png,1,red,"231,76,60",0.19999999999999996,0.11041666666666666,0.16874999999999996,0.8375,66.6,55.208,56.362,418.75
Pour,Pour,1,bottle,images/n02876657/0053.JPEG,Pour/references/01__bottle__0053.JPEG,Pour/reference_overlays/ref01_bottle.png,3,bottle,images/n02876657/0001.JPEG,Pour/tests/03__bottle__0001.JPEG,Pour/test_overlays/test03_bottle.png,2,green,"39,174,96",0.4078125,0.4041666666666667,0.4296875,0.8104166666666667,135.802,202.083,143.516,405.208
Pour,Pour,1,bottle,images/n02876657/0053.JPEG,Pour/references/01__bottle__0053.JPEG,Pour/reference_overlays/ref01_bottle.png,3,bottle,images/n02876657/0001.JPEG,Pour/tests/03__bottle__0001.JPEG,Pour/test_overlays/test03_bottle.png,3,blue,"52,152,219",0.659375,0.6979166666666666,0.721875,0.7916666666666666,219.572,348.958,241.106,395.833
Pour,Pour,1,bottle,images/n02876657/0053.JPEG,Pour/references/01__bottle__0053.JPEG,Pour/reference_overlays/ref01_bottle.png,3,bottle,images/n02876657/0001.JPEG,Pour/tests/03__bottle__0001.JPEG,Pour/test_overlays/test03_bottle.png,4,yellow,"241,196,15",0.55,0.5375,0.5046875,0.8166666666666667,183.15,268.75,168.566,408.333
Pour,Pour,1,bottle,images/n02876657/0053.JPEG,Pour/references/01__bottle__0053.JPEG,Pour/reference_overlays/ref01_bottle.png,3,bottle,images/n02876657/0001.JPEG,Pour/tests/03__bottle__0001.JPEG,Pour/test_overlays/test03_bottle.png,5,magenta,"155,89,182",0.7796875,0.8479166666666667,0.8640625,0.8,259.636,423.958,288.597,400.0
Pour,Pour,1,bottle,images/n02876657/0053.JPEG,Pour/references/01__bottle__0053.JPEG,Pour/reference_overlays/ref01_bottle.png,4,bottle,images/n02876657/0095.JPEG,Pour/tests/04__bottle__0095.JPEG,Pour/test_overlays/test04_bottle.png,1,red,"231,76,60",0.19999999999999996,0.11041666666666666,0.11562499999999998,0.14583333333333334,66.6,55.208,57.812,54.688
