action,action_slug,reference_rank,reference_object_category,reference_source_image_path,reference_dataset_image_path,reference_overlay_image_path,test_rank,test_object_category,test_source_image_path,test_dataset_image_path,test_overlay_image_path,point_id,point_color_name,point_color_rgb,reference_point_x,reference_point_y,test_point_x,test_point_y,reference_point_x_px,reference_point_y_px,test_point_x_px,test_point_y_px
Pull out a nail,Pull_out_a_nail,1,hammer,images/n03481172/0033.JPEG,Pull_out_a_nail/references/01__hammer__0033.JPEG,Pull_out_a_nail/reference_overlays/ref01_hammer.png,1,frying_pan,images/n03400231/0023.JPEG,Pull_out_a_nail/tests/01__frying_pan__0023.JPEG,Pull_out_a_nail/test_overlays/test01_frying_pan.png,1,red,"231,76,60",0.171875,0.7229166666666667,0.109375,0.68125,85.938,271.094,14.219,88.562
Pull out a nail,Pull_out_a_nail,1,hammer,images/n03481172/0033.JPEG,Pull_out_a_nail/references/01__hammer__0033.JPEG,Pull_out_a_nail/reference_overlays/ref01_hammer.png,1,frying_pan,images/n03400231/0023.JPEG,Pull_out_a_nail/tests/01__frying_pan__0023.JPEG,Pull_out_a_nail/test_overlays/test01_frying_pan.png,2,green,"39,174,96",0.10468750000000004,0.63125,0.209375,0.7,52.344,236.719,27.219,91.0
Pull out a nail,Pull_out_a_nail,1,hammer,images/n03481172/0033.JPEG,Pull_out_a_nail/references/01__hammer__0033.JPEG,Pull_out_a_nail/reference_overlays/ref01_hammer.png,1,frying_pan,images/n03400231/0023.JPEG,Pull_out_a_nail/tests/01__frying_pan__0023.JPEG,Pull_out_a_nail/test_overlays/test01_frying_pan.png,3,blue,"52,152,219",0.46406250000000004,0.4791666666666667,0.6765625,0.4375,232.031,179.688,87.953,56.875
Pull out a nail,Pull_out_a_nail,1,hammer,images/n03481172/0033.JPEG,Pull_out_a_nail/references/01__hammer__0033.JPEG,Pull_out_a_nail/reference_overlays/ref01_hammer.png,1,frying_pan,images/n03400231/0023.JPEG,Pull_out_a_nail/tests/01__frying_pan__0023.JPEG,Pull_out_a_nail/test_overlays/test01_frying_pan.png,4,yellow,"241,196,15",0.6875,0.46458333333333335,0.784375,0.3333333333333333,343.75,174.219,101.969,43.333
Pull out a nail,Pull_out_a_nail,1,hammer,images/n03481172/0033.JPEG,Pull_out_a_nail/references/01__hammer__0033.JPEG,Pull_out_a_nail/reference_overlays/ref01_hammer.png,1,frying_pan,images/n03400231/0023.JPEG,Pull_out_a_nail/tests/01__frying_pan__0023.JPEG,Pull_out_a_nail/test_overlays/test01_frying_pan.png,5,magenta,"155,89,182",0.9453125,0.4708333333333333,0.9015625,0.25,472.656,176.562,117.203,32.5
Pull out a nail,Pull_out_a_nail,1,hammer,images/n03481172/0033.JPEG,Pull_out_a_nail/references/01__hammer__0033.JPEG,Pull_out_a_nail/reference_overlays/ref01_hammer.png,2,frying_pan,images/n03400231/0054.JPEG,Pull_out_a_nail/tests/02__frying_pan__0054.JPEG,Pull_out_a_nail/test_overlays/test02_frying_pan.png,1,red,"231,76,60",0.171875,0.7229166666666667,0.0234375,0.5604166666666667,85.938,271.094,13.5,207.354
Pull out a nail,Pull_out_a_nail,1,hammer,images/n03481172/0033.JPEG,Pull_out_a_nail/references/01__hammer__0033.JPEG,Pull_out_a_nail/reference_overlays/ref01_hammer.png,2,frying_pan,images/n03400231/0054.JPEG,Pull_out_a_nail/tests/02__frying_pan__0054.JPEG,Pull_out_a_nail/test_overlays/test02_frying_pan.png,2,green,"39,174,96",0.10468750000000004,0.63125,0.0296875,0.6458333333333334,52.344,236.719,17.1,238.958
Pull out a nail,Pull_out_a_nail,1,hammer,images/n03481172/0033.JPEG,Pull_out_a_nail/references/01__hammer__0033.JPEG,Pull_out_a_nail/reference_overlays/ref01_hammer.png,2,frying_pan,images/n03400231/0054.JPEG,Pull_out_a_nail/tests/02__frying_pan__0054.JPEG,Pull_out_a_nail/test_overlays/test02_frying_pan.png,3,blue,"52,152,219",0.46406250000000004,0.4791666666666667,0.625,0.525,232.031,179.688,360.0,194.25
Pull out a nail,Pull_out_a_nail,1,hammer,images/n03481172/0033.JPEG,Pull_out_a_nail/references/01__hammer__0033.JPEG,Pull_out_a_nail/reference_overlays/ref01_hammer.png,2,frying_pan,images/n03400231/0054.JPEG,Pull_out_a_nail/tests/02__frying_pan__0054.JPEG,Pull_out_a_nail/test_overlays/test02_frying_pan.png,4,yellow,"241,196,15",0.6875,0.46458333333333335,0.7828125,0.45208333333333334,343.75,174.219,450.9,167.271
Pull out a nail,Pull_out_a_nail,1,hammer,images/n03481172/0033.JPEG,Pull_out_a_nail/references/01__hammer__0033.JPEG,Pull_out_a_nail/reference_overlays/ref01_hammer.png,2,frying_pan,images/n03400231/0054.JPEG,Pull_out_a_nail/tests/02__frying_pan__0054.JPEG,Pull_out_a_nail/test_overlays/test02_frying_pan.png,5,magenta,"155,89,182",0.9453125,0.4708333333333333,0.9609375,0.425,472.656,176.562,553.5,157.25
