action,action_slug,reference_rank,reference_object_category,reference_source_image_path,reference_dataset_image_path,reference_overlay_image_path,test_rank,test_object_category,test_source_image_path,test_dataset_image_path,test_overlay_image_path,point_id,point_color_name,point_color_rgb,reference_point_x,reference_point_y,test_point_x,test_point_y,reference_point_x_px,reference_point_y_px,test_point_x_px,test_point_y_px
Scoop,Scoop,1,cup,images/n07930864/0075.JPEG,Scoop/references/01__cup__0075.JPEG,Scoop/reference_overlays/ref01_cup.png,1,basket,images/n02801938/0010.png,Scoop/tests/01__basket__0010.png,Scoop/test_overlays/test01_basket.png,1,red,"231,76,60",0.084375,0.3020833333333333,0.1609375,0.5083333333333333,37.969,85.792,80.469,190.625
Scoop,Scoop,1,cup,images/n07930864/0075.JPEG,Scoop/references/01__cup__0075.JPEG,Scoop/reference_overlays/ref01_cup.png,1,basket,images/n02801938/0010.png,Scoop/tests/01__basket__0010.png,Scoop/test_overlays/test01_basket.png,2,green,"39,174,96",0.7390625,0.26458333333333334,0.5140625,0.63125,332.578,75.142,257.031,236.719
Scoop,Scoop,1,cup,images/n07930864/0075.JPEG,Scoop/references/01__cup__0075.JPEG,Scoop/reference_overlays/ref01_cup.png,1,basket,images/n02801938/0010.png,Scoop/tests/01__basket__0010.png,Scoop/test_overlays/test01_basket.png,3,blue,"52,152,219",0.4234375,0.86875,0.44375,0.7729166666666667,190.547,246.725,221.875,289.844
Scoop,Scoop,1,cup,images/n07930864/0075.JPEG,Scoop/references/01__cup__0075.JPEG,Scoop/reference_overlays/ref01_cup.png,1,basket,images/n02801938/0010.png,Scoop/tests/01__basket__0010.png,Scoop/test_overlays/test01_basket.png,4,yellow,"241,196,15",0.8,0.32708333333333334,0.53125,0.5916666666666667,360.0,92.892,265.625,221.875
Scoop,Scoop,1,cup,images/n07930864/0075.JPEG,Scoop/references/01__cup__0075.JPEG,Scoop/reference_overlays/ref01_cup.png,1,basket,images/n02801938/0010.png,Scoop/tests/01__basket__0010.png,Scoop/test_overlays/test01_basket.png,5,magenta,"155,89,182",0.9484375,0.47291666666666665,0.5140625,0.25833333333333336,426.797,134.308,257.031,96.875
Scoop,Scoop,1,cup,images/n07930864/0075.JPEG,Scoop/references/01__cup__0075.JPEG,Scoop/reference_overlays/ref01_cup.png,2,basket,images/n02801938/0073.png,Scoop/tests/02__basket__0073.png,Scoop/test_overlays/test02_basket.png,1,red,"231,76,60",0.084375,0.3020833333333333,0.0265625,0.46875,37.969,85.792,12.75,300.0
Scoop,Scoop,1,cup,images/n07930864/0075.JPEG,Scoop/references/01__cup__0075.JPEG,Scoop/reference_overlays/ref01_cup.png,2,basket,images/n02801938/0073.png,Scoop/tests/02__basket__0073.png,Scoop/test_overlays/test02_basket.png,2,green,"39,174,96",0.7390625,0.26458333333333334,0.434375,0.6645833333333333,332.578,75.142,208.5,425.333
Scoop,Scoop,1,cup,images/n07930864/0075.JPEG,Scoop/references/01__cup__0075.JPEG,Scoop/reference_overlays/ref01_cup.png,2,basket,images/n02801938/0073.png,Scoop/tests/02__basket__0073.png,Scoop/test_overlays/test02_basket.png,3,blue,"52,152,219",0.4234375,0.86875,0.353125,0.78125,190.547,246.725,169.5,500.0
Scoop,Scoop,1,cup,images/n07930864/0075.JPEG,Scoop/references/01__cup__0075.JPEG,Scoop/reference_overlays/ref01_cup.png,2,basket,images/n02801938/0073.png,Scoop/tests/02__basket__0073.png,Scoop/test_overlays/test02_basket.png,4,yellow,"241,196,15",0.8,0.32708333333333334,0.440625,0.5979166666666667,360.0,92.892,211.5,382.667
Scoop,Scoop,1,cup,images/n07930864/0075.JPEG,Scoop/references/01__cup__0075.JPEG,Scoop/reference_overlays/ref01_cup.png,2,basket,images/n02801938/0073.png,Scoop/tests/02__basket__0073.png,Scoop/test_overlays/test02_basket.png,5,magenta,"155,89,182",0.9484375,0.47291666666666665,0.4765625,0.14791666666666667,426.797,134.308,228.75,94.667
