action,action_slug,reference_rank,reference_object_category,reference_source_image_path,reference_dataset_image_path,reference_overlay_image_path,test_rank,test_object_category,test_source_image_path,test_dataset_image_path,test_overlay_image_path,point_id,point_color_name,point_color_rgb,reference_point_x,reference_point_y,test_point_x,test_point_y,reference_point_x_px,reference_point_y_px,test_point_x_px,test_point_y_px
Scrape,Scrape,1,spatula,images/n04269944/0049.png,Scrape/references/01__spatula__0049.png,Scrape/reference_overlays/ref01_spatula.png,1,scraper,images/n04150980/0075.png,Scrape/tests/01__scraper__0075.png,Scrape/test_overlays/test01_scraper.png,1,red,"231,76,60",0.15000000000000002,0.38125,0.178125,0.2604166666666667,75.0,142.969,89.062,130.208
Scrape,Scrape,1,spatula,images/n04269944/0049.png,Scrape/references/01__spatula__0049.png,Scrape/reference_overlays/ref01_spatula.png,1,scraper,images/n04150980/0075.png,Scrape/tests/01__scraper__0075.png,Scrape/test_overlays/test01_scraper.png,2,green,"39,174,96",0.2734375,0.45416666666666666,0.05625,0.5354166666666667,136.719,170.312,28.125,267.708
Scrape,Scrape,1,spatula,images/n04269944/0049.png,Scrape/references/01__spatula__0049.png,Scrape/reference_overlays/ref01_spatula.png,1,scraper,images/n04150980/0075.png,Scrape/tests/01__scraper__0075.png,Scrape/test_overlays/test01_scraper.png,3,blue,"52,152,219",0.19687500000000002,0.4166666666666667,0.11875,0.3770833333333333,98.438,156.25,59.375,188.542
Scrape,Scrape,1,spatula,images/n04269944/0049.png,Scrape/references/01__spatula__0049.png,Scrape/reference_overlays/ref01_spatula.png,1,scraper,images/n04150980/0075.png,Scrape/tests/01__scraper__0075.png,Scrape/test_overlays/test01_scraper.png,4,yellow,"241,196,15",0.534375,0.475,0.578125,0.45625,267.188,178.125,289.062,228.125
Scrape,Scrape,1,spatula,images/n04269944/0049.png,Scrape/references/01__spatula__0049.png,Scrape/reference_overlays/ref01_spatula.png,1,scraper,images/n04150980/0075.png,Scrape/tests/01__scraper__0075.png,Scrape/test_overlays/test01_scraper.png,5,magenta,"155,89,182",0.76875,0.6,0.921875,0.5333333333333333,384.375,225.0,460.938,266.667
Scrape,Scrape,1,spatula,images/n04269944/0049.png,Scrape/references/01__spatula__0049.png,Scrape/reference_overlays/ref01_spatula.png,2,scraper,images/n04150980/0011.png,Scrape/tests/02__scraper__0011.png,Scrape/test_overlays/test02_scraper.png,1,red,"231,76,60",0.15000000000000002,0.38125,0.015625,0.5895833333333333,75.0,142.969,3.75,141.5
Scrape,Scrape,1,spatula,images/n04269944/0049.png,Scrape/references/01__spatula__0049.png,Scrape/reference_overlays/ref01_spatula.png,2,scraper,images/n04150980/0011.png,Scrape/tests/02__scraper__0011.png,Scrape/test_overlays/test02_scraper.png,2,green,"39,174,96",0.2734375,0.45416666666666666,0.1046875,0.8416666666666667,136.719,170.312,25.125,202.0
Scrape,Scrape,1,spatula,images/n04269944/0049.png,Scrape/references/01__spatula__0049.png,Scrape/reference_overlays/ref01_spatula.png,2,scraper,images/n04150980/0011.png,Scrape/tests/02__scraper__0011.png,Scrape/test_overlays/test02_scraper.png,3,blue,"52,152,219",0.19687500000000002,0.4166666666666667,0.06875,0.6958333333333333,98.438,156.25,16.5,167.0
Scrape,Scrape,1,spatula,images/n04269944/0049.png,Scrape/references/01__spatula__0049.png,Scrape/reference_overlays/ref01_spatula.png,2,scraper,images/n04150980/0011.png,Scrape/tests/02__scraper__0011.png,Scrape/test_overlays/test02_scraper.png,4,yellow,"241,196,15",0.534375,0.475,0.496875,0.39791666666666664,267.188,178.125,119.25,95.5
Scrape,Scrape,1,spatula,images/n04269944/0049.png,Scrape/references/01__spatula__0049.png,Scrape/reference_overlays/ref01_spatula.png,2,scraper,images/n04150980/0011.png,Scrape/tests/02__scraper__0011.png,Scrape/test_overlays/test02_scraper.png,5,magenta,"155,89,182",0.76875,0.6,0.9,0.22083333333333333,384.375,225.0,216.0,53.0
